form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,Seifert Michael Stephen,1985187,2023-07-31,edgar/data/1985187/0001213900-23-061334.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-061334,2023-07-31,0001847064,0001985187,2023-07-19,11.0,False,8.0,12.0
SC 13D,"Skye Bioscience, Inc.",1516551,2023-08-28,edgar/data/1516551/0001104659-23-096002.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-096002,2023-08-28,0001516551,0001873545,,31.7,False,,
SC 13D,"Spectral AI, Inc.",1833498,2023-09-27,edgar/data/1833498/0001213900-23-079675.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-079675,2023-09-27,0001833498,0001331984,,32.68,False,,
SC 13D,"Stone House Capital Management, LLC",1589943,2023-08-11,edgar/data/1589943/0001213900-23-066230.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-066230,2023-08-11,0001596961,0001589943,,13.5,False,,
SC 13D,"System1, Inc.",1805833,2023-09-06,edgar/data/1805833/0001805833-23-000156.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001805833-23-000156,2023-09-06,0001805833,0001805833,2023-09-01,0.0,False,3.0,5.0
SC 13D,"TMD Wealth Management, LLC",1842820,2023-07-10,edgar/data/1842820/0001765380-23-000125.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001765380-23-000125,2023-07-10,0001842820,0001842820,2023-06-16,32.52,False,16.0,24.0
SC 13D,Tree Roots Entertainment Group Co Ltd,1907129,2023-09-01,edgar/data/1907129/0001140361-23-042385.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-042385,2023-09-01,0001372183,0001907129,2021-06-30,2.59,False,567.0,793.0
SC 13D,Tristar Acquisition I Corp.,1852736,2023-09-08,edgar/data/1852736/0001929980-23-000189.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001929980-23-000189,2023-09-08,0001852736,0001355497,2023-07-18,17.8,False,38.0,52.0
SC 13D,WELLS FARGO & COMPANY/MN,72971,2023-09-25,edgar/data/72971/0001193125-23-241338.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-241338,2023-09-25,0001162027,0000072971,,38.03,False,,
SC 13D,Wang Lauren,1982360,2023-07-10,edgar/data/1982360/0001193125-23-184701.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-184701,2023-07-10,0001891856,0001982360,,29.0,False,,
