permno,cik,td,treated_permno,treated_accession,match_group,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
80274,0000915358,2022-09-20,92466,0000921895-22-002735,0000921895-22-002735,ok,full,0.0,,,,,0,0,0,0,0,0,
80274,0000915358,2023-06-26,19352,0001140361-23-033518,0001140361-23-033518,ok,full,0.0,,,,,0,0,0,0,0,0,
91421,0000917225,2022-03-15,17366,0001140361-22-010994,0001140361-22-010994,ok,full,0.0,,,,,0,0,0,0,0,0,
80432,0000919012,2024-04-22,57817,0001104659-24-051481,0001104659-24-051481,ok,full,0.0,,,,,0,0,0,0,0,0,
20288,0000922247,2022-01-10,20297,0001513162-22-000005,0001513162-22-000005,ok,full,0.0,,,,,0,0,0,0,0,0,
20288,0000922247,2022-09-30,15125,0001628280-22-030420,0001628280-22-030420,ok,full,0.0,,,,,0,0,0,0,0,0,
20288,0000922247,2023-05-29,20788,0000897069-23-000695,0000897069-23-000695,ok,full,0.0,,,,,0,0,0,0,0,0,
80828,0000924822,2022-11-11,19224,0001085146-22-004149,0001085146-22-004149,ok,full,0.0,,,,,0,0,0,0,0,0,
80828,0000924822,2024-08-12,39220,0000807249-24-000095,0000807249-24-000095,ok,full,0.0,,,,,0,0,0,0,0,0,
89110,0000926326,2023-09-08,81241,0001104659-23-100860,0001104659-23-100860,ok,full,0.0,,,,,0,0,0,0,0,0,
